|Species|Date First Observed|Most Recent Observation|Favorite Picture|
|---|---|---|---|
|Red Diamond Rattlesnake|March 29, 2018|May 27, 2020|![Red Diamond Rattlesnake]({{ site.baseurl }}/assets/snakes/lifers/redDiamondRattle.jpg)|
|Northern Pacific Rattlesnake|June 4, 2018|August 13, 2020|![NorPac]({{ site.baseurl }}/assets/snakes/lifers/norPac.jpg)|
|Pacific Gophersnake|June 5, 2018|July 20, 2020|![Pacific Gophersnake]({{ site.baseurl }}/assets/snakes/lifers/pacificGopher.jpg)|
|Diablo Range Gartersnake|June 10, 2018|June 18, 2019|![Diablo Range Gartersnake]({{ site.baseurl }}/assets/snakes/lifers/diabloRangeGarter.jpg)|
|Santa Cruz Gartersnake|June 30, 2018|June 30, 2018|![Santa Cruz Garter]({{ site.baseurl }}/assets/snakes/lifers/santaCruzGarter.jpg)|
|Northern Rubber Boa|June 30, 2018|June 21, 2019|![Northern Rubber Boa]({{ site.baseurl }}/assets/snakes/lifers/rubberBoa.jpg)|
|Eastern Gartersnake|September 22, 2018|October 24, 2019|![Eastern Gartersnake]({{ site.baseurl }}/assets/snakes/lifers/easternGarter.jpg)|
|California Kingsnake|March 27, 2019|August 17, 2020|![California Kingsnake]({{ site.baseurl }}/assets/snakes/lifers/californiaKingsnake.jpg)|
|San Diego Gophersnake|March 27, 2019|March 29, 2019|Not Personally Photographed|
|Southern Pacific Rattlesnake|March 27, 2019|March 27, 2019|![SoPac]({{ site.baseurl }}/assets/snakes/lifers/soPac.jpg)| 
|Red Racer|March 29, 2019|March 29, 2019|Not Personally Photographed|
|Eastern Milksnake|April 13, 2019|April 13, 2019|![Eastern Milksnake]({{ site.baseurl }}/assets/snakes/lifers/easternMilk.jpg)|
|Black Racer|May 28, 2019|May 31, 2019|Not Personally Photographed|
|Eastern Ring-necked Snake|May 28, 2019|May 29, 2019|Not Personally Photographed|
|Black Rat Snake|May 28, 2019|May 28, 2019|Not Personally Photographed|
|Eastern Ribbon Snake|May 28, 2019|May 28, 2019|Not Personally Photographed|
|Scarlet Kingsnake|May 28, 2019|May 28, 2019|![Scarlet Kingsnake]({{ site.baseurl }}/assets/snakes/lifers/scarKing.jpg)|
|Brown Watersnake|May 28, 2019|May 30, 2019|![Watersnake]({{ site.baseurl }}/assets/snakes/lifers/watersnake.jpg)|
|Cottonmouth|May 28, 2019|May 28, 2019|Not Personally Photographed|
|Northern Brown Snake|May 28, 2019|May 28, 2019|![Northern Brown Snake]({{ site.baseurl }}/assets/snakes/lifers/brownSnake.jpg)|
|Red Bellied WaterSnake|May 29, 2019|May 29, 2019|![Red Bellied Watersnake]({{ site.baseurl }}/assets/snakes/lifers/redBellyWatersnake.jpg)|
|Corn Snake|May 29, 2019|May 29, 2019|![Corn Snake]({{ site.baseurl }}/assets/snakes/lifers/cornSnake.jpg)|
|Eastern Worm Snake|May 29, 2019|May 29, 2019|Not Personally Photographed|
|Pygmy Rattlesnake|May 30, 2019|May 30, 2019|![Pygmy Rattlesnake]({{ site.baseurl }}/assets/snakes/lifers/pygmy.jpg)|
